ensembleDescription,k,dataset,errorRate
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-Gradient Boosting,5,Breast Cancer,0.09223280501066447
Decission Tree-Perceptron-Ridge-Linear Discriminant-Quadratic Discriminant,5,Breast Cancer,0.09760958494933794
Decission Tree-Perceptron-Ridge-Linear Discriminant-BernoulliNB,5,Breast Cancer,0.12368185360981598
Decission Tree-Perceptron-Ridge-Linear Discriminant-MultinomialNB,5,Breast Cancer,0.11970524542268146
Decission Tree-Perceptron-Ridge-Linear Discriminant-Nearest Neighbors,5,Breast Cancer,0.09978394543154909
Decission Tree-Perceptron-Ridge-Linear Discriminant-Extra Trees,5,Breast Cancer,0.09148605918894069
Decission Tree-Perceptron-Ridge-Linear Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.09824044515385297
Decission Tree-Perceptron-Ridge-Linear Discriminant-Gradient Boosting,5,Breast Cancer,0.09749053733029032
Decission Tree-Perceptron-Ridge-Quadratic Discriminant-BernoulliNB,5,Breast Cancer,0.11015445970606216
Decission Tree-Perceptron-Ridge-Quadratic Discriminant-MultinomialNB,5,Breast Cancer,0.11068489426545883
Decission Tree-Perceptron-Ridge-Quadratic Discriminant-Nearest Neighbors,5,Breast Cancer,0.09640376546580605
Decission Tree-Perceptron-Ridge-Quadratic Discriminant-Extra Trees,5,Breast Cancer,0.08699476811208655
Decission Tree-Perceptron-Ridge-Quadratic Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.09886170267381675
Decission Tree-Perceptron-Ridge-Quadratic Discriminant-Gradient Boosting,5,Breast Cancer,0.0902214684756584
Decission Tree-Perceptron-Ridge-BernoulliNB-MultinomialNB,5,Breast Cancer,0.15786624382184508
Decission Tree-Perceptron-Ridge-BernoulliNB-Nearest Neighbors,5,Breast Cancer,0.11682243317791685
Decission Tree-Perceptron-Ridge-BernoulliNB-Extra Trees,5,Breast Cancer,0.10317366974232603
Decission Tree-Perceptron-Ridge-BernoulliNB-Random Forest (10 estimators),5,Breast Cancer,0.11310767608033116
Decission Tree-Perceptron-Ridge-BernoulliNB-Gradient Boosting,5,Breast Cancer,0.10985585472060036
Decission Tree-Perceptron-Ridge-MultinomialNB-Nearest Neighbors,5,Breast Cancer,0.1196659129201029
Decission Tree-Perceptron-Ridge-MultinomialNB-Extra Trees,5,Breast Cancer,0.09972439245226661
Decission Tree-Perceptron-Ridge-MultinomialNB-Random Forest (10 estimators),5,Breast Cancer,0.11085412553730693
Decission Tree-Perceptron-Ridge-MultinomialNB-Gradient Boosting,5,Breast Cancer,0.1052046433588627
Decission Tree-Perceptron-Ridge-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.08859184740249133
Decission Tree-Perceptron-Ridge-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.09871370698627388
Decission Tree-Perceptron-Ridge-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.0911969985485128
Decission Tree-Perceptron-Ridge-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.08810277556087612
Decission Tree-Perceptron-Ridge-Extra Trees-Gradient Boosting,5,Breast Cancer,0.08409483905293962
Decission Tree-Perceptron-Ridge-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.09253761732076934
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-Linear Discriminant,5,Breast Cancer,0.11067767183321434
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-Quadratic Discriminant,5,Breast Cancer,0.10721908355619032
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-BernoulliNB,5,Breast Cancer,0.13814210806345473
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-MultinomialNB,5,Breast Cancer,0.13981187839244294
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-Nearest Neighbors,5,Breast Cancer,0.1123373494257058
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-Extra Trees,5,Breast Cancer,0.10172952166262958
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-Random Forest (10 estimators),5,Breast Cancer,0.10323626804441273
Decission Tree-Perceptron-SGD-Multi-layer Perceptron-Gradient Boosting,5,Breast Cancer,0.1022128762315472
Decission Tree-Perceptron-SGD-Linear Discriminant-Quadratic Discriminant,5,Breast Cancer,0.09941725822937231
Decission Tree-Perceptron-SGD-Linear Discriminant-BernoulliNB,5,Breast Cancer,0.1310564819870906
Decission Tree-Perceptron-SGD-Linear Discriminant-MultinomialNB,5,Breast Cancer,0.1317781651521728
Decission Tree-Perceptron-SGD-Linear Discriminant-Nearest Neighbors,5,Breast Cancer,0.10574056183288764
Decission Tree-Perceptron-SGD-Linear Discriminant-Extra Trees,5,Breast Cancer,0.09394011098509776
Decission Tree-Perceptron-SGD-Linear Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.09655176115334892
Decission Tree-Perceptron-SGD-Linear Discriminant-Gradient Boosting,5,Breast Cancer,0.09887101366078137
Decission Tree-Perceptron-SGD-Quadratic Discriminant-BernoulliNB,5,Breast Cancer,0.12482971861684003
Decission Tree-Perceptron-SGD-Quadratic Discriminant-MultinomialNB,5,Breast Cancer,0.12712074646579202
Decission Tree-Perceptron-SGD-Quadratic Discriminant-Nearest Neighbors,5,Breast Cancer,0.10450419577808583
Decission Tree-Perceptron-SGD-Quadratic Discriminant-Extra Trees,5,Breast Cancer,0.09213887838777576
Decission Tree-Perceptron-SGD-Quadratic Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.09595556629002674
Decission Tree-Perceptron-SGD-Quadratic Discriminant-Gradient Boosting,5,Breast Cancer,0.09429510694800315
Decission Tree-Perceptron-SGD-BernoulliNB-MultinomialNB,5,Breast Cancer,0.17691273108282812
Decission Tree-Perceptron-SGD-BernoulliNB-Nearest Neighbors,5,Breast Cancer,0.1319841503199339
Decission Tree-Perceptron-SGD-BernoulliNB-Extra Trees,5,Breast Cancer,0.11721806844858888
Decission Tree-Perceptron-SGD-BernoulliNB-Random Forest (10 estimators),5,Breast Cancer,0.12538837783471712
Decission Tree-Perceptron-SGD-BernoulliNB-Gradient Boosting,5,Breast Cancer,0.12094393339027269
Decission Tree-Perceptron-SGD-MultinomialNB-Nearest Neighbors,5,Breast Cancer,0.13298242113664047
Decission Tree-Perceptron-SGD-MultinomialNB-Extra Trees,5,Breast Cancer,0.12061089642168736
Decission Tree-Perceptron-SGD-MultinomialNB-Random Forest (10 estimators),5,Breast Cancer,0.12831336955050568
Decission Tree-Perceptron-SGD-MultinomialNB-Gradient Boosting,5,Breast Cancer,0.12267319835902606
Decission Tree-Perceptron-SGD-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.09965480507600474
Decission Tree-Perceptron-SGD-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.10283752911141915
Decission Tree-Perceptron-SGD-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.10061220322687539
Decission Tree-Perceptron-SGD-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.08641409156037207
Decission Tree-Perceptron-SGD-Extra Trees-Gradient Boosting,5,Breast Cancer,0.08585232868017342
Decission Tree-Perceptron-SGD-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.09087095065410267
Decission Tree-Perceptron-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant,5,Breast Cancer,0.08634189057373415
Decission Tree-Perceptron-Multi-layer Perceptron-Linear Discriminant-BernoulliNB,5,Breast Cancer,0.11521604290054746
Decission Tree-Perceptron-Multi-layer Perceptron-Linear Discriminant-MultinomialNB,5,Breast Cancer,0.11658720824407387
Decission Tree-Perceptron-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors,5,Breast Cancer,0.09855921227650133
Decission Tree-Perceptron-Multi-layer Perceptron-Linear Discriminant-Extra Trees,5,Breast Cancer,0.08204805542720862
Decission Tree-Perceptron-Multi-layer Perceptron-Linear Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.08474742489370539
Decission Tree-Perceptron-Multi-layer Perceptron-Linear Discriminant-Gradient Boosting,5,Breast Cancer,0.0836394174449158
Decission Tree-Perceptron-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB,5,Breast Cancer,0.11182965561016137
Decission Tree-Perceptron-Multi-layer Perceptron-Quadratic Discriminant-MultinomialNB,5,Breast Cancer,0.11768900836822034
Decission Tree-Perceptron-Multi-layer Perceptron-Quadratic Discriminant-Nearest Neighbors,5,Breast Cancer,0.09697095392111564
Decission Tree-Perceptron-Multi-layer Perceptron-Quadratic Discriminant-Extra Trees,5,Breast Cancer,0.07861458814634352
Decission Tree-Perceptron-Multi-layer Perceptron-Quadratic Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.08689434246696816
Decission Tree-Perceptron-Multi-layer Perceptron-Quadratic Discriminant-Gradient Boosting,5,Breast Cancer,0.07725583745210327
Decission Tree-Perceptron-Multi-layer Perceptron-BernoulliNB-MultinomialNB,5,Breast Cancer,0.1482298273617003
Decission Tree-Perceptron-Multi-layer Perceptron-BernoulliNB-Nearest Neighbors,5,Breast Cancer,0.11768822661868827
Decission Tree-Perceptron-Multi-layer Perceptron-BernoulliNB-Extra Trees,5,Breast Cancer,0.10587846478393377
Decission Tree-Perceptron-Multi-layer Perceptron-BernoulliNB-Random Forest (10 estimators),5,Breast Cancer,0.11128030737924888
Decission Tree-Perceptron-Multi-layer Perceptron-BernoulliNB-Gradient Boosting,5,Breast Cancer,0.10691427124608546
Decission Tree-Perceptron-Multi-layer Perceptron-MultinomialNB-Nearest Neighbors,5,Breast Cancer,0.12354447571442573
Decission Tree-Perceptron-Multi-layer Perceptron-MultinomialNB-Extra Trees,5,Breast Cancer,0.1117316102173497
Decission Tree-Perceptron-Multi-layer Perceptron-MultinomialNB-Random Forest (10 estimators),5,Breast Cancer,0.11721806844858888
Decission Tree-Perceptron-Multi-layer Perceptron-MultinomialNB-Gradient Boosting,5,Breast Cancer,0.11045437149671197
Decission Tree-Perceptron-Multi-layer Perceptron-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.0941807614940517
Decission Tree-Perceptron-Multi-layer Perceptron-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.10142160569020317
Decission Tree-Perceptron-Multi-layer Perceptron-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.0939362255732441
Decission Tree-Perceptron-Multi-layer Perceptron-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.07861148448402197
Decission Tree-Perceptron-Multi-layer Perceptron-Extra Trees-Gradient Boosting,5,Breast Cancer,0.07528125481301018
Decission Tree-Perceptron-Multi-layer Perceptron-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.07965349827081672
Decission Tree-Perceptron-Linear Discriminant-Quadratic Discriminant-BernoulliNB,5,Breast Cancer,0.10433884991809132
Decission Tree-Perceptron-Linear Discriminant-Quadratic Discriminant-MultinomialNB,5,Breast Cancer,0.10152974381951152
Decission Tree-Perceptron-Linear Discriminant-Quadratic Discriminant-Nearest Neighbors,5,Breast Cancer,0.09020803871877088
Decission Tree-Perceptron-Linear Discriminant-Quadratic Discriminant-Extra Trees,5,Breast Cancer,0.08014955918660713
Decission Tree-Perceptron-Linear Discriminant-Quadratic Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.09081145601433753
Decission Tree-Perceptron-Linear Discriminant-Quadratic Discriminant-Gradient Boosting,5,Breast Cancer,0.08735907506195656
Decission Tree-Perceptron-Linear Discriminant-BernoulliNB-MultinomialNB,5,Breast Cancer,0.16296017044473382
Decission Tree-Perceptron-Linear Discriminant-BernoulliNB-Nearest Neighbors,5,Breast Cancer,0.1144371870084896
Decission Tree-Perceptron-Linear Discriminant-BernoulliNB-Extra Trees,5,Breast Cancer,0.100142045056776
Decission Tree-Perceptron-Linear Discriminant-BernoulliNB-Random Forest (10 estimators),5,Breast Cancer,0.10831856176754735
Decission Tree-Perceptron-Linear Discriminant-BernoulliNB-Gradient Boosting,5,Breast Cancer,0.10498833209653555
Decission Tree-Perceptron-Linear Discriminant-MultinomialNB-Nearest Neighbors,5,Breast Cancer,0.1139349187680561
Decission Tree-Perceptron-Linear Discriminant-MultinomialNB-Extra Trees,5,Breast Cancer,0.09669276776671662
Decission Tree-Perceptron-Linear Discriminant-MultinomialNB-Random Forest (10 estimators),5,Breast Cancer,0.10439834455785646
Decission Tree-Perceptron-Linear Discriminant-MultinomialNB-Gradient Boosting,5,Breast Cancer,0.10153595114415462
Decission Tree-Perceptron-Linear Discriminant-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.08119108292145634
Decission Tree-Perceptron-Linear Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.09067277131375925
Decission Tree-Perceptron-Linear Discriminant-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.08323447118727918
Decission Tree-Perceptron-Linear Discriminant-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.08468482659161873
Decission Tree-Perceptron-Linear Discriminant-Extra Trees-Gradient Boosting,5,Breast Cancer,0.08020284650172918
Decission Tree-Perceptron-Linear Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.08911035736454731
Decission Tree-Perceptron-Quadratic Discriminant-BernoulliNB-MultinomialNB,5,Breast Cancer,0.15226384163387988
Decission Tree-Perceptron-Quadratic Discriminant-BernoulliNB-Nearest Neighbors,5,Breast Cancer,0.11160014794901596
Decission Tree-Perceptron-Quadratic Discriminant-BernoulliNB-Extra Trees,5,Breast Cancer,0.09212646373848962
Decission Tree-Perceptron-Quadratic Discriminant-BernoulliNB-Random Forest (10 estimators),5,Breast Cancer,0.102631543943658
Decission Tree-Perceptron-Quadratic Discriminant-BernoulliNB-Gradient Boosting,5,Breast Cancer,0.0987395513924476
Decission Tree-Perceptron-Quadratic Discriminant-MultinomialNB-Nearest Neighbors,5,Breast Cancer,0.11734045308802735
Decission Tree-Perceptron-Quadratic Discriminant-MultinomialNB-Extra Trees,5,Breast Cancer,0.09381175237908553
Decission Tree-Perceptron-Quadratic Discriminant-MultinomialNB-Random Forest (10 estimators),5,Breast Cancer,0.10049704101968142
Decission Tree-Perceptron-Quadratic Discriminant-MultinomialNB-Gradient Boosting,5,Breast Cancer,0.09476915052995617
Decission Tree-Perceptron-Quadratic Discriminant-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.0800861791349883
Decission Tree-Perceptron-Quadratic Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.08399368999780643
Decission Tree-Perceptron-Quadratic Discriminant-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.07877761209354858
Decission Tree-Perceptron-Quadratic Discriminant-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.08142369424492328
Decission Tree-Perceptron-Quadratic Discriminant-Extra Trees-Gradient Boosting,5,Breast Cancer,0.07618249534450651
Decission Tree-Perceptron-Quadratic Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.0908585360048165
Decission Tree-Perceptron-BernoulliNB-MultinomialNB-Nearest Neighbors,5,Breast Cancer,0.14092632652394485
Decission Tree-Perceptron-BernoulliNB-MultinomialNB-Extra Trees,5,Breast Cancer,0.13956447216738305
Decission Tree-Perceptron-BernoulliNB-MultinomialNB-Random Forest (10 estimators),5,Breast Cancer,0.15022016167047045
Decission Tree-Perceptron-BernoulliNB-MultinomialNB-Gradient Boosting,5,Breast Cancer,0.14958619780363386
Decission Tree-Perceptron-BernoulliNB-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.10547351852629716
Decission Tree-Perceptron-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.11272677737173475
Decission Tree-Perceptron-BernoulliNB-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.10938723671375836
Decission Tree-Perceptron-BernoulliNB-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.09604328558827235
Decission Tree-Perceptron-BernoulliNB-Extra Trees-Gradient Boosting,5,Breast Cancer,0.0881653738629628
Decission Tree-Perceptron-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.10041863270840043
Decission Tree-Perceptron-MultinomialNB-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.10676317189622102
Decission Tree-Perceptron-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.11353307617274103
Decission Tree-Perceptron-MultinomialNB-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.11179110485711488
Decission Tree-Perceptron-MultinomialNB-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.09612790122419644
Decission Tree-Perceptron-MultinomialNB-Extra Trees-Gradient Boosting,5,Breast Cancer,0.08760981830740726
Decission Tree-Perceptron-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.10050635200664601
Decission Tree-Perceptron-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.0766527118541232
Decission Tree-Perceptron-Nearest Neighbors-Extra Trees-Gradient Boosting,5,Breast Cancer,0.07487010123073046
Decission Tree-Perceptron-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.08275732394300464
Decission Tree-Perceptron-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.079637979959209
Decission Tree-Ridge-SGD-Multi-layer Perceptron-Linear Discriminant,5,Breast Cancer,0.09527762609503274
Decission Tree-Ridge-SGD-Multi-layer Perceptron-Quadratic Discriminant,5,Breast Cancer,0.08923561230823801
Decission Tree-Ridge-SGD-Multi-layer Perceptron-BernoulliNB,5,Breast Cancer,0.11524426755902792
Decission Tree-Ridge-SGD-Multi-layer Perceptron-MultinomialNB,5,Breast Cancer,0.11653392092895183
Decission Tree-Ridge-SGD-Multi-layer Perceptron-Nearest Neighbors,5,Breast Cancer,0.08639755814116297
Decission Tree-Ridge-SGD-Multi-layer Perceptron-Extra Trees,5,Breast Cancer,0.08438622160615691
Decission Tree-Ridge-SGD-Multi-layer Perceptron-Random Forest (10 estimators),5,Breast Cancer,0.0904251317306301
Decission Tree-Ridge-SGD-Multi-layer Perceptron-Gradient Boosting,5,Breast Cancer,0.08709800572193985
Decission Tree-Ridge-SGD-Linear Discriminant-Quadratic Discriminant,5,Breast Cancer,0.1026219995986241
Decission Tree-Ridge-SGD-Linear Discriminant-BernoulliNB,5,Breast Cancer,0.11849710402636011
Decission Tree-Ridge-SGD-Linear Discriminant-MultinomialNB,5,Breast Cancer,0.11221365798107932
Decission Tree-Ridge-SGD-Linear Discriminant-Nearest Neighbors,5,Breast Cancer,0.09676163173296369
